Współrzędne geodezyjne ECEF stacji permanentnej GNSS
Obserwatorium Astronomiczno-Geodezyjne w Józefosławiu
	  phi      |      lam      |   h    
# -----------------------------------------------------
52.097272218413,21.031533332798,141.399 
52.097272161111,21.031533144230,141.400 
52.097272120371,21.031532955663,141.403 
52.097272085153,21.031532767095,141.408 
52.097272086036,21.031533228062,141.410 
52.097272118935,21.031533177763,141.402 
52.097272069032,21.031532997578,141.406 
52.097272060638,21.031532805864,141.411 
52.097272119130,21.031533254246,141.407 
52.097272135497,21.031533177763,141.405 
52.097272100884,21.031533322345,141.408 
52.097272153158,21.031533183000,141.406 
